date,avgTemp,trip_count
2023-02-23,3.7,65595
2023-02-27,4.1,58387
2023-02-05,0.8,49842
2023-02-25,-2.5,43325
2023-02-18,1.5,52125
2023-02-19,5.3,51309
2023-10-30,13.1,99675
2023-04-02,9.4,71359
2023-04-17,13.3,91483
2023-04-19,11.0,105984
2023-04-07,13.3,81409
2023-04-08,7.4,76972
2023-04-10,10.5,90059
2023-04-06,12.4,96521
2023-04-04,13.4,105089
2023-04-05,10.9,71909
2023-04-18,12.9,95749
2023-04-29,10.4,17757
2023-04-21,13.8,114898
2023-04-09,8.1,69977
2023-04-03,8.2,84497
2023-03-31,7.1,82899
2023-03-30,4.4,76572
2023-03-26,10.1,88017
2023-03-28,7.7,79728
2023-03-29,8.2,88659
2023-03-24,10.7,77837
2023-03-25,7.3,33016
2023-03-27,11.0,60781
2023-03-09,4.9,77315
2023-03-22,11.6,87108
2023-03-01,3.9,70245
2023-03-06,7.8,72655
2023-03-17,10.9,83168
2023-03-03,5.3,65344
2023-03-02,6.3,73762
2023-03-12,4.5,56572
2023-03-15,3.4,65666
2023-03-14,3.3,39389
2023-03-05,6.4,64785
2023-03-07,5.6,66677
2023-03-16,6.3,83552
2023-03-08,3.2,71677
2023-03-04,5.5,56830
2023-03-23,11.1,75326
2023-03-19,3.1,48544
2023-03-11,4.9,49164
2023-03-10,4.6,59459
2023-03-13,5.4,32823
2023-03-21,9.9,87909
2023-10-10,15.1,128697
2023-10-09,13.4,108174
2023-10-13,15.6,137237
2023-10-17,14.6,133573
2023-10-02,21.7,135723
2023-10-18,15.1,137017
2023-10-04,22.9,150221
2023-10-01,19.6,131759
2023-10-26,20.3,150134
2023-10-11,17.3,142506
2023-10-27,20.6,147911
2023-10-03,21.4,146954
2023-10-16,13.2,120965
2023-10-23,11.8,116287
2023-10-06,20.2,122027
2023-10-21,16.4,95466
2023-10-25,16.6,142337
2023-10-05,21.2,148575
2023-10-28,22.7,157773
2023-10-22,13.6,100249
2023-10-12,17.5,142986
2023-10-29,15.2,50161
2023-10-20,16.7,62424
2023-10-07,19.4,69256
2023-10-24,13.7,133437
2023-10-19,15.1,140078
2023-10-15,12.8,106679
2023-10-14,13.2,42586
2023-10-08,13.9,105367
2023-08-16,23.5,136597
2023-08-19,22.6,144790
2023-08-20,25.3,119717
2023-08-02,22.5,145031
2023-08-09,25.3,141670
2023-08-06,25.7,124173
2023-08-17,23.9,132511
2023-08-05,24.9,138541
2023-08-07,24.6,99576
2023-08-21,27.4,122327
2023-08-26,25.2,125757
2023-08-24,22.3,101813
2023-08-13,25.9,117850
2023-08-29,22.4,135148
2023-08-23,22.3,137635
2023-08-22,24.2,136933
2023-08-14,27.1,123818
2023-08-28,23.3,122169
2023-08-25,23.0,99289
2023-08-27,24.8,125927
2023-08-15,23.9,129584
2023-08-18,24.8,128371
2023-08-08,24.3,133800
2023-08-04,23.4,128902
2023-08-11,24.3,136765
2023-08-03,23.3,140384
2023-08-12,25.2,133309
2023-08-01,23.6,142719
2023-08-10,24.9,90453
2023-07-31,24.7,130696
2023-07-10,25.1,123444
2023-07-17,27.2,124908
2023-07-30,23.2,128839
2023-07-11,26.9,133639
2023-07-08,26.4,116622
2023-07-01,24.5,108009
2023-07-13,28.9,131736
2023-07-05,26.8,115627
2023-07-12,29.6,133524
2023-07-23,26.2,122644
2023-07-19,25.3,132153
2023-07-07,26.7,123060
2023-07-27,29.0,128564
2023-07-22,25.5,133546
2023-07-29,29.6,120530
2023-07-02,25.2,82889
2023-07-21,26.3,125519
2023-07-04,25.9,83861
2023-07-26,25.3,143195
2023-07-03,27.0,96964
2023-07-16,26.1,65329
2023-07-25,25.8,111881
2023-07-24,27.1,125835
2023-07-20,25.4,139790
2023-07-09,26.2,88395
2023-07-14,26.1,106568
2023-07-06,28.8,122815
2023-07-28,28.9,125861
2023-07-18,26.7,122677
