start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
Leonard St & Boerum St,Parkside Ave & Flatbush Ave,2,40.70583339,-73.94644578,40.65563,-73.95968
Coffey St & Conover St,W 21 St & 6 Ave,3,40.677236,-74.015665,40.74173969,-73.99415556
Winthrop St & Rogers Ave,Broadway & Whipple St,9,40.656895638,-73.95349884,40.7016657,-73.9437303
Bialystoker Pl & Delancey St,5 Ave & E 30 St,10,40.71622644,-73.98261206,40.7459849,-73.98629487
E 201 St & Briggs Ave,E 157 St & River Ave,1,40.87187624,-73.884869814,40.825737,-73.927311
44 Dr & Jackson Ave,65 Ln & Metropolitan Ave,2,40.747340083,-73.943076611,40.7123,-73.89397
W 15 St & 6 Ave,Avenue D & E 3 St,79,40.738210559,-73.996685028,40.72082834,-73.97793172
Greene Ave & Throop Ave,Banker St & Meserole Ave,3,40.6894932,-73.942061,40.72606,-73.95621
Broadway & W 133 St,Adam Clayton Powell Blvd & W 132 St,27,40.819238544,-73.955951691,40.813539,-73.94521
Fulton St & Saratoga Ave,Albany Ave & Carroll St,1,40.678559542,-73.916553259,40.6667,-73.93972
Verona Pl & Fulton St,Eastern Pkwy & Brooklyn Ave,7,40.6803560840434,-73.9476791024208,40.66939,-73.94514
Morgan Ave & Lombardy St,40 Ave & 9 St,1,40.722375631,-73.938752532,40.75742,-73.945133
Fulton St & William St,Gramercy Park N & Gramercy Park E,5,40.70976603,-74.006911516,40.73795,-73.98509
N 5 St & Northside Piers,Underhill Ave & Pacific St,27,40.74227368333333,-73.95420061666667,40.6804836,-73.9646795
E 53 St & 3 Ave,Carlton Ave & Flushing Ave,1,40.757470489,-73.96942699,40.697787,-73.973736
Cadman Plaza E & Tillary St,W 42 St & 8 Ave,2,40.69597683,-73.99014892,40.7575699,-73.99098507
E 91 St & 2 Ave,Willow Ave & E 133 St,5,40.781266332,-73.95008719,40.800933,-73.913863
Riverside Dr & Broadway,Atlantic Ave & Fort Greene Pl,2,40.865522981,-73.928068161,40.68382604,-73.97632328
E 7 St & Avenue A,3 Ave & E 71 St,2,40.72621788,-73.98379855,40.76873687,-73.96119945
24 Ave & 29 St,Willow Ave & E 133 St,6,40.772869349,-73.916100979,40.800933,-73.913863
Willoughby Ave & Walworth St,E 75 St & 3 Ave,2,40.693323016,-73.953851104,40.77112927,-73.95772297
Dawson St & Intervale Ave,St. Nicholas Ave & W 126 St,1,40.81992054,-73.89731288,40.8114323,-73.9518776
Pacific St & Thomas S. Boyland St,President St & Nostrand Ave,1,40.67568,-73.91396,40.66811,-73.9505
E 43 St & 2 Ave,Adelphi St & Myrtle Ave,1,40.750052691,-73.971054316,40.69308257,-73.97178913
W 20 St & 8 Ave,Adams St & Prospect St,4,40.74345335,-74.00004031,40.70076308326151,-73.98869812488556
Academy St & Nagle Ave,Lincoln Ave & E 134 St,8,40.862562,-73.922661,40.808484,-73.928803
Andrews Ave S & W 179 St,Aqueduct Ave & W 190 St,4,40.855207682,-73.912892222,40.8649213,-73.9024238
Crescent St & 34 Ave,28 St & 36 Ave,310,40.761114597,-73.930639386,40.757186,-73.932719
Central Park West & W 85 St,2 Ave & E 125 St,9,40.78476,-73.969862,40.802554,-73.933509
Grand Concourse & E Mosholu Pkwy S,Macombs Rd & W 175 St,1,40.877871633,-73.884932041,40.848177,-73.916082
E 43 St & 2 Ave,Lafayette St & Jersey St,27,40.750052691,-73.971054316,40.72456089,-73.99565293
21 St & 31 Dr,Knickerbocker Ave & Thames St,1,40.765814185,-73.931052685,40.70539,-73.92976
Greenwich St & Hubert St,Madison St & Clinton St,12,40.721112609,-74.010003805,40.71269042,-73.98776323
E 7 St & Avenue A,Dean St & Rockaway Ave,1,40.72621788,-73.98379855,40.67486,-73.91123
75 St & Roosevelt Ave,51 Ave & Junction Blvd,18,40.74668014,-73.890368223,40.74087,-73.86772
Lexington Ave & E 29 St,Stagg St & Union Ave,7,40.74311555376486,-73.98215353488922,40.70877084,-73.95095259
Central Park West & W 68 St,62 St & 43 Ave,3,40.7734066,-73.97782542,40.74261,-73.903
W 27 St & 7 Ave,Riverside Dr & W 78 St,24,40.746647,-73.993915,40.78414472,-73.98362492
Clinton Ave & Myrtle Ave,Stanton St & Norfolk St,12,40.693383813,-73.969046354,40.720747,-73.986274
College Ave & E 169 St,Grand Ave & W 181 St,11,40.835073709,-73.911969423,40.856302,-73.907302
37 Ave & 35 St,Lexington Ave & E 36 St,2,40.753327966,-73.927815914,40.7475739589548,-73.9788007736206
